Title
CIDR 2017  8th Biennial Conference on Innovative Data Systems Research  Chaminade  CA  USA  January 8-11  2017  Online Proceedings.
Data Ingestion for the Connected World.
Evolving Databases for New-Gen Big Data Applications.
SnappyData: A Unified Cluster for Streaming  Transactions and Interactice Analytics.
Prioritizing Attention in Analytic Monitoring.
The Data Civilizer System.
Ground: A Data Context Service.
Adaptive Schema Databases.
The Case For Heterogeneous HTAP.
Cardinality Estimation Done Right: Index-Based Join Sampling.
Indexing in an Actor-Oriented Database.
Data Provenance at Internet Scale: Architecture  Experiences  and the Road Ahead.
The Myria Big Data Management and Analytics System and Cloud Services.
Demonstrating the BigDAWG Polystore System for Ocean Metagenomics Analysis.
Self-Driving Database Management Systems.
Fast-Forwarding to Desired Visualizations with Zenvisage.
Combining Design and Performance in a Data Visualization Management System.
Ava: From Data to Insights Through Conversations.
Dependency-Driven Analytics: A Compass for Uncharted Data Oceans.
Database Forensic Analysis with DBCarver.
A Model for Fine-Grained Data Citation.
Latch-free Synchronization in Database Systems: Silver Bullet or Fool's Gold?
Adaptive Concurrency Control: Despite the Looking Glass  One Concurrency Control Does Not Fit All.
My Weak Consistency is Strong.
Toward Sustainable Insights  or Why Polygamy is Bad for You.
SPOOF: Sum-Product Optimization and Operator Fusion for Large-Scale Machine Learning.
Janus: Transaction Processing of Navigation and Analytic Graph Queries on Many-core Servers.
A Common Runtime for High Performance Data Analysis.
A Database System with Amnesia.
Releasing Cloud Databases for the Chains of Performance Prediction Models.
Optimizing Space Amplification in RocksDB.
Cosette: An Automated Prover for SQL.
READY: Completeness is in the Eye of the Beholder.
CEREBRO: A System to Manage Deep Learning for Relational Data Analytics.
ExpoDB: An Exploratory Data Science Platform.
Snorkel: A System for Lightweight Extraction.
RLEX: Saftey and Data Quality in Reinforcement Learning-based and Adaptive Systems.
Active Database Learning.
MODELDB: A System for Machine Learning Model Management.
Predictive Provisioning: A Progress Report.
How to Talk to People at Conferences.
Dial M for Management: Next Generation NoSQL.
Neuromorphic Hardware As Database Co-Processors.
The Automatic Scientist will be a Data System.
GeneralStore: Declarative Programmable Storage.
Exploring a continuum between main-memory and disk-oriented OLTP systems.
What's Up with the Storage Hierarchy?
Event Evolution and Archiving.
Mike Franklin Spits Fire.
Reaching Mutual Understanding in a Society of Humans and Database Systems.
AgriBase: Status Labeling for IoT Systems.
Playing Information LEGO at Large Scale.
Elementary  dear Watson!
Towards Benchmarking Multi-Model Databases.
Secure Data Systems and Performance: Friends or Foe?
CIDR: Chat-oriented Innovations in Database Research.
We Are Boring.
Answer yes/no queries in search engines.
In Database We Trust?
What is the Population of Interest: Population Modeling for BayesDB.
Scalable In-Situ Exploration over Raw Data.
What is Our Agenda for Data Science?
NoSym: Non-Symbolic Databases for Data Decoupling.
Next Generation Consistency Enforcement.
Query processing for datacenter-scale computers.
Reprowd: Crowdsourced Data Processing Made Reproducible.
Density Peaks Clustering with Differential Privacy.
SQL for NoSQL Databases: Deja Vu (Part 2).
Casual Querying: Facilitating Information Dissemination in Ad-hoc Environments.
A Visual Cloud for Virtual Reality Applications.
Treating Microservices as a Unifed  Distributed Database.
Hybrid: A Large-scale In-memory Image Analytics Engine.
Stop the Truthiness and Just Be Wrong.
On the design of a Globally Distributed  Locally Compressed Knowledge Base System.
Representation Independent Data Analytics.
