Title
Benchmarking and performance evaluation
Crowd sourcing
Data models semantics query languages
Data provenance
Data visualization
Data warehousing OLAP SQL Analytics
Database monitoring and tuning
Database security privacy access control
Database usability
Databases for emerging hardware
Distributed and parallel databases
Graph data management RDF social networks
Information extraction
Information retrieval and text mining
Knowledge discovery clustering data mining
Query processing and optimization
Schema matching data integration and data cleaning
Scientific databases
Semi-structured data
Spatio-temporal databases
Storage indexing and physical database design
Streams sensor networks complex event processing
Transaction processing
Uncertain probabilistic and approximate databases
Machine learning methods for management of data
